Designation,Job Category,SBU,Vacancy Open Date ,Vacancy Close Date,Month,Year
Accounts Executive,Executive ,SBU 1,01/01/2025,12/01/2025,January,2025
Area Sales Manager,Assistant Manager,SBU 7,13/12/2024,16/12/2024,January,2025
Industrial Services Engineer,Assistant Manager,SBU 7,04/12/2024,30/12/2024,January,2025
Assistant Manager - Strategy,Assistant Manager,SBU 8,25/09/2024,16/10/2024,January,2025
General Manager - Supply Chain,GM,SBU 8,28/11/2024,02/12/2024,January,2025
Assistant Manager - Creative Media & Design,Assistant Manager,SBU 8,28/10/2024,03/12/2024,January,2025
Assistant Manager - Learning & Developemnt,Assistant Manager,SBU 8,01/12/2024,16/12/2024,January,2025
Assistant Manager - Security Operations & Administration,Assistant Manager,SBU 14,28/11/2024,19/12/2024,January,2025
Senior Executive - Administration & Operation,Senior Executive,SBU 14,27/09/2024,12/10/2024,January,2025
DGM - Power ,DGM,SBU 13,22/10/2024,18/11/2024,January,2025
Executive - Finance,Executive ,SBU 2,02/12/2024,08/01/2025,January,2025
Territory Manager 1,Assistant Manager,SBU 10,10/11/2024,17/12/2024,January,2025
Territory Manager 2,Assistant Manager,SBU 10,11/12/2024,23/12/2024,January,2025
Manager - Marketing,Manager,SBU 10,11/12/2024,01/01/2025,January,2025
Senior Manager – Business Development,Senior Manager,SBU 10,01/01/2025,01/01/2025,January,2025
Product Manager,Senior Executive,SBU 10,20/12/2024,01/03/2025,January,2025
Executive - Costing,Executive ,SBU 10,01/11/2024,24/12/2024,January,2025
Superintendent - Security & Administration ,Assistant Manager,SBU 15,01/01/2025,20/01/2025,January,2025
Commercial Executive,Executive ,SBU 6,05/01/2025,21/01/2025,January,2025
Assistant Manager - Business Development,Assistant Manager,SBU 6,05/01/2025,21/01/2025,January,2025
Senior Manager -  Operations,Senior Manager,SBU 13,22/01/2025,01/02/2025,February,2025
Industrial services Engineer,Assistant Manager,SBU 7,04/12/2024,30/12/2024,February,2025
Manager Bulk Survice,Manager,SBU 7,21/01/2025,06/02/2025,February,2025
Operations Engineer,Assistant Manager,SBU 7,06/02/2025,14/02/2025,February,2025
Center Manager,Assistant Manager,SBU 3,28/11/2024,20/01/2025,February,2025
Finance Executive,Executive ,SBU 3,07/12/2024,03/01/2025,February,2025
Territory Manager,Assistant Manager,SBU 10,07/02/2025,17/02/2025,February,2025
Customer Coordinator,Executive ,SBU 3,01/02/2025,14/02/2025,February,2025
Senior Manager - Sales & Marketing,Senior Manager,SBU 9,15/10/2024,13/02/2025,February,2025
Executive Sous Chef,Senior Executive,SBU 1,01/02/2025,10/02/2025,February,2025
Junior Executive - Operation,Executive ,SBU 4,27/01/2025,03/02/2025,February,2025
DPA,GM,SBU 11,25/01/2025,25/01/2025,February,2025
Junior Executive - R&D,Junior Executive ,SBU 5,31/01/2025,01/02/2025,February,2025
Associate - General Ledger 1,Executive ,SBU 2,31/01/2025,01/02/2025,February,2025
Associate - General Ledger 2,Executive ,SBU 2,31/01/2025,01/02/2025,February,2025
Accounts Executive 1,Executive ,SBU 14,15/02/2025,24/02/2025,February,2025
Junior Accounts Executive,Executive ,SBU 14,15/02/2025,24/02/2025,February,2025
Accounts Executive 2,Executive ,SBU 14,28/01/2025,24/02/2025,February,2025
Manager,Manager,SBU 14,29/01/2025,24/02/2025,February,2025
Executive - Pharmacy CPU,Executive ,SBU 14,28/01/2025,27/02/2025,February,2025
Executive - Imports & Exports,Executive ,SBU 8,18/12/2024,21/01/2025,February,2025
Assistant Manager - Creative Media & Design,Assistant Manager,SBU 8,16/01/2025,20/01/2025,February,2025
Executive - Imports & Exports,Executive ,SBU 8,18/12/2024,21/01/2025,February,2025
Senior Executive - Group Tax & Regulatory Reporting,Senior Executive,SBU 8,05/01/2025,30/01/2025,February,2025
Executive - HR,Executive ,SBU 8,17/01/2025,27/01/2025,February,2025
Assistant Manager - Strategy,Assistant Manager,SBU 8,10/12/2024,20/01/2025,February,2025
Operation Executive,Executive ,SBU 8,01/02/2025,01/02/2025,February,2025
Executive – Design & Development,Executive ,SBU 4,05/02/2024,15/03/2024,February,2025
Chef Di Cuisine,Assistant Manager,SBU 1,08/03/2025,08/03/2025,March,2025
Area Sales Manager,Assistant Manager,SBU 7,11/03/2025,13/03/2025,March,2025
Territory Manager,Assistant Manager,SBU 10,19/03/2025,19/03/2025,March,2025
HR Executive,Executive ,SBU 12,15/11/2024,24/02/2025,March,2025
DPA,GM,SBU 11,20/03/2025,24/03/2025,March,2025
Assistant Manager - Business Development,Assistant Manager,SBU 6,01/01/2025,17/01/2025,March,2025
Junior Executive - Marketing,Junior Executive ,SBU 5,28/02/2025,28/02/2025,March,2025
Assistant Manager - Corporate Communication,Assistant Manager,SBU 8,07/01/2025,27/01/2025,March,2025
